,ORDERTYPE,CUSTOMER,ITEMCODE,ORDERDATE,OREDEREDQUANTITY
244,ES1,C00283,IT0001020,15-SEP,160.0
245,ES1,C00283,IT0001476,21-SEP,17.0
246,ES1,C00277,IT0001151,21-SEP,40.0
247,ES1,C00313,IT0001494,29-DEC,150.0
248,ES1,C00317,IT0001309,07-APR,370.0
249,ES1,C00301,IT0001307,14-AUG,77.0
250,ES1,C00283,IT0001307,12-NOV,1000.0
251,ES1,C00116,IT0001107,11-MAY,40.0
252,ES1,C00156,IT0001159,28-MAY,200.0
253,ES1,C00156,IT0001096,03-JUN,480.0
254,ES1,C00256,IT0001197,04-AUG,300.0
255,ES1,C00256,IT0001406,04-AUG,5.0
256,ES1,C00256,IT0001433,04-AUG,27.0
257,ES1,C00237,IT0001494,09-SEP,100.0
258,0,0,0,0,0.0
259,ES1,C00105,IT0001506,25-SEP,50.0
260,ES1,C00198,IT0001433,05-OCT,98.0
261,ES1,C00247,IT0001096,08-OCT,110.0
262,ES1,C00266,IT0001414,27-OCT,12.0
263,ES1,C00266,IT0001159,27-OCT,20.0
264,ES1,C00290,IT0001471,28-OCT,7.0
265,ES1,C00290,IT0001406,28-OCT,4.0
266,ES1,C00301,IT0001020,02-OCT,800.0
267,ES1,C00301,IT0001020,02-OCT,800.0
268,ES3,C00315,IT0001499,06-OCT,40.0
269,ES1,C00151,IT0001259,17-OCT,5000.0
270,ES1,C00257,IT0001488,12-OCT,10.0
271,ES3,C00205,IT0001476,22-OCT,50.0
272,ES3,C00265,IT0001197,23-OCT,300.0
273,ES1,C00238,IT0001088,27-OCT,320.0
274,ES3,C00115,IT0001040,11-NOV,72.0
275,ES3,C00115,IT0001068,11-NOV,144.0
276,ES3,C00115,IT0001068,11-NOV,144.0
277,ES3,C00115,IT0001076,25-NOV,500.0
278,ES3,C00115,IT0001088,25-NOV,1120.0
279,ES3,C00115,IT0001151,25-NOV,200.0
280,ES1,C00301,IT0001151,07-NOV,40.0
281,ES1,C00257,IT0001020,11-DEC,160.0
282,ES3,C00315,IT0001471,12-DEC,63.0
283,ES3,C00238,IT0001088,16-JUL,3200.0
284,ES3,C00238,IT0001088,16-JUL,3200.0
285,ES3,C00238,IT0001088,16-JUL,3200.0
286,ES3,C00238,IT0001088,16-JUL,3200.0
287,ES3,C00238,IT0001088,16-JUL,3200.0
288,ES3,C00238,IT0001088,16-JUL,3200.0
289,ES3,C00238,IT0001088,16-JUL,3200.0
290,ES3,C00238,IT0001088,16-JUL,3200.0
291,ES1,C00283,IT0001488,17-JUL,20.0
292,ES1,C00216,IT0001113,25-JUL,72.0
293,ES3,C00246,IT0001076,27-JUL,250.0
294,ES1,C00238,IT0001159,28-JUL,40.0
295,ES3,C00315,IT0001020,31-JUL,320.0
296,ES3,C00315,IT0001040,31-JUL,72.0
297,ES3,C00158,IT0001076,31-JUL,525.0
298,ES3,C00158,IT0001113,31-JUL,20.0
299,ES1,C00246,IT0001076,12-AUG,250.0
300,ES3,C00354,IT0001076,18-AUG,250.0
301,ES3,C00354,IT0001020,18-AUG,640.0
302,ES3,C00354,IT0001020,18-AUG,640.0
303,ES3,C00313,IT0001040,21-AUG,72.0
304,ES1,C00280,IT0001151,25-AUG,16.0
305,ES3,C00311,IT0001012,28-AUG,750.0
306,ES3,C00311,IT0001012,28-AUG,750.0
307,ES1,C00342,IT0001076,08-SEP,250.0
308,ES1,C00257,IT0001371,09-SEP,50.0
309,ES1,C00301,IT0001162,12-SEP,40.0
310,ES1,C00252,IT0001471,14-NOV,13.0
311,ES1,C00256,IT0001488,16-NOV,27.0
312,ES1,C00256,IT0001203,16-NOV,81.0
313,ES1,C00285,IT0001096,18-NOV,400.0
314,ES1,C00285,IT0001043,18-NOV,100.0
315,ES1,C00285,IT0001043,18-NOV,100.0
316,ES1,C00252,IT0001016,14-DEC,750.0
317,0,0,0,0,0.0
318,ES1,C00224,IT0001484,13-APR,200.0
319,ES1,C00224,IT0001484,13-APR,200.0
320,ES1,C00224,IT0001484,13-APR,200.0
321,ES1,C00224,IT0001401,04-JUN,200.0
322,ES1,C00224,IT0001401,04-JUN,200.0
323,ES1,C00224,IT0001119,04-JUN,8.0
324,0,0,0,0,0.0
325,ES1,C00229,IT0001052,07-AUG,120.0
326,ES1,C00229,IT0001093,07-AUG,24.0
327,ES1,C00242,IT0001096,07-FEB,5.0
328,ES3,C00238,IT0001012,06-JAN,250.0
329,ES3,C00238,IT0001159,06-JAN,40.0
330,ES3,C00301,IT0001415,09-JAN,10.0
331,ES1,C00205,IT0001367,09-JAN,6.0
332,ES1,C00315,IT0001381,19-JAN,3.0
333,ES1,C00335,IT0001471,03-DEC,10.0
334,ES1,C00101,IT0001139,09-DEC,50.0
335,ES1,C00314,IT0001012,07-DEC,2500.0
336,ES1,C00314,IT0001012,07-DEC,2500.0
337,ES1,C00314,IT0001012,07-DEC,2500.0
338,ES1,C00314,IT0001012,07-DEC,2500.0
339,ES1,C00257,IT0001307,23-FEB,3000.0
340,ES1,C00257,IT0001307,25-SEP,2000.0
341,ES1,C00256,IT0001494,04-MAY,17.0
342,ES1,C00256,IT0001488,04-MAY,9.0
343,ES1,C00370,IT0001026,21-MAY,480.0
344,ES1,C00370,IT0001433,21-MAY,67.0
345,ES1,C00370,IT0001405,21-MAY,20.0
346,ES1,C00152,IT0001494,08-JUN,23.0
347,ES1,C00152,IT0001471,08-JUN,25.0
348,ES1,C00264,IT0001505,14-JUL,51.0
349,ES1,C00264,IT0001510,14-JUL,35.0
350,ES1,C00264,IT0001451,14-JUL,20.0
351,ES1,C00308,IT0001213,01-SEP,7250.0
352,ES1,C00308,IT0001213,01-SEP,7250.0
353,ES1,C00308,IT0001213,01-SEP,7250.0
354,ES1,C00308,IT0001213,01-SEP,7250.0
355,ES1,C00136,IT0001170,22-SEP,100.0
356,ES1,C00256,IT0001197,05-SEP,400.0
357,ES3,C00113,IT0001088,27-NOV,480.0
358,ES3,C00113,IT0001088,27-NOV,480.0
359,ES3,C00316,IT0001076,02-DEC,500.0
360,ES3,C00205,IT0001068,09-SEP,144.0
361,ES3,C00205,IT0001068,09-SEP,144.0
362,ES3,C00205,IT0001159,09-SEP,160.0
363,ES3,C00205,IT0001159,09-SEP,160.0
364,ES3,C00283,IT0001076,16-MAR,1000.0
365,ES3,C00283,IT0001076,16-MAR,1000.0
366,ES3,C00283,IT0001076,16-MAR,1000.0
367,ES1,C00342,IT0001481,25-MAR,50.0
368,ES1,C00313,IT0001133,06-APR,24.0
369,ES3,C00115,IT0001020,17-APR,960.0
370,ES3,C00115,IT0001020,17-APR,960.0
371,ES3,C00115,IT0001020,17-APR,960.0
372,ES3,C00115,IT0001020,17-APR,960.0
373,ES3,C00115,IT0001063,17-APR,180.0
374,ES3,C00115,IT0001151,17-APR,120.0
375,ES3,C00115,IT0001012,17-APR,1500.0
376,ES3,C00128,IT0001020,20-APR,160.0
377,ES3,C00316,IT0001088,23-APR,160.0
378,ES1,C00246,IT0001088,28-APR,160.0
379,ES1,C00240,IT0001367,01-MAY,37.0
380,ES1,C00316,IT0001133,02-MAY,200.0
381,ES1,C00316,IT0001133,02-MAY,200.0
382,ES1,C00316,IT0001139,02-MAY,24.0
383,ES1,C00353,IT0001494,08-MAY,5.0
384,ES3,C00342,IT0001076,26-MAY,750.0
385,ES3,C00240,IT0001020,26-MAY,480.0
386,ES3,C00238,IT0001020,28-MAY,640.0
387,ES3,C00238,IT0001020,28-MAY,640.0
388,ES3,C00238,IT0001020,28-MAY,640.0
389,ES3,C00238,IT0001113,28-MAY,288.0
390,ES3,C00238,IT0001113,28-MAY,288.0
391,ES3,C00238,IT0001113,28-MAY,288.0
392,ES3,C00238,IT0001113,28-MAY,288.0
393,ES3,C00238,IT0001068,28-MAY,288.0
394,ES3,C00238,IT0001068,28-MAY,288.0
395,ES3,C00238,IT0001068,28-MAY,288.0
396,ES3,C00238,IT0001068,28-MAY,288.0
397,ES3,C00238,IT0001012,28-MAY,1000.0
398,ES3,C00238,IT0001012,28-MAY,1000.0
399,ES3,C00238,IT0001088,28-MAY,640.0
400,ES3,C00238,IT0001088,28-MAY,640.0
401,ES3,C00238,IT0001088,28-MAY,640.0
402,ES3,C00238,IT0001159,28-MAY,120.0
403,ES3,C00238,IT0001159,28-MAY,120.0
404,ES3,C00154,IT0001162,03-JUL,24.0
405,ES3,C00315,IT0001415,06-JUL,40.0
406,ES3,C00315,IT0001414,06-JUL,25.0
407,ES1,C00143,IT0001116,29-JUL,75.0
408,ES1,C00143,IT0001415,29-JUL,500.0
409,ES1,C00102,IT0001170,13-AUG,40.0
410,ES1,C00102,IT0001170,13-AUG,40.0
411,ES1,C00102,IT0001139,13-AUG,16.0
412,ES1,C00224,IT0001093,13-APR,334.0
413,ES1,C00224,IT0001093,13-APR,334.0
414,ES1,C00224,IT0001093,13-APR,334.0
415,ES1,C00224,IT0001093,13-APR,334.0
416,ES1,C00224,IT0001427,13-APR,27.0
417,ES1,C00252,IT0001096,06-JAN,1280.0
418,ES1,C00252,IT0001016,28-JAN,500.0
419,ES1,C00308,IT0001195,11-FEB,160.0
420,ES1,C00173,IT0001026,26-FEB,1000.0
421,ES1,C00173,IT0001026,26-FEB,1000.0
422,ES1,C00245,IT0001476,17-MAR,75.0
423,ES1,C00245,IT0001299,17-MAR,13500.0
424,ES1,C00263,IT0001433,28-MAR,7.0
425,ES1,C00263,IT0001481,28-MAR,50.0
426,ES1,C00156,IT0001159,30-MAR,200.0
427,ES1,C00237,IT0001471,01-APR,50.0
428,ES1,C00223,IT0001494,23-JAN,100.0
429,ES1,C00225,IT0001235,29-JAN,70.0
430,ES1,C00225,IT0001230,29-JAN,60.0
431,ES1,C00224,IT0001052,13-APR,200.0
432,ES1,C00225,IT0001239,12-OCT,2000.0
433,ES1,C00225,IT0001239,12-OCT,2000.0
434,ES1,C00225,IT0001525,12-OCT,340.0
435,ES1,C00225,IT0001518,12-OCT,30.0
436,ES1,C00225,IT0001226,12-OCT,312.0
437,ES1,C00225,IT0001235,12-OCT,70.0
438,ES1,C00225,IT0001236,13-NOV,1920.0
439,ES3,C00127,IT0001020,07-OCT,1120.0
440,ES3,C00127,IT0001020,07-OCT,1120.0
441,ES3,C00127,IT0001020,07-OCT,1120.0
442,ES3,C00340,IT0001088,16-DEC,320.0
443,ES3,C00340,IT0001088,16-DEC,320.0
444,ES3,C00340,IT0001133,16-DEC,8.0
445,ES3,C00316,IT0001101,19-DEC,180.0
446,ES3,C00316,IT0001020,19-DEC,160.0
447,ES1,C00140,IT0001381,23-DEC,5.0
448,ES1,C00127,IT0001159,25-DEC,96.0
449,ES1,C00351,IT0001275,29-DEC,83.0
450,ES1,C00246,IT0001020,02-JAN,160.0
451,ES1,C00246,IT0001033,31-DEC,130.0
452,ES3,C00281,IT0001012,31-DEC,1250.0
453,ES1,C00246,IT0001113,03-JAN,72.0
454,ES3,C00309,IT0001012,03-JAN,500.0
455,ES1,C00102,IT0001076,05-JAN,250.0
456,ES1,C00102,IT0001162,05-JAN,24.0
457,ES3,C00335,IT0001133,06-JAN,64.0
458,ES3,C00335,IT0001133,06-JAN,64.0
459,ES3,C00238,IT0001020,06-JAN,1440.0
460,ES3,C00238,IT0001020,06-JAN,1440.0
461,ES3,C00238,IT0001020,06-JAN,1440.0
462,ES3,C00238,IT0001020,06-JAN,1440.0
463,ES3,C00238,IT0001020,06-JAN,1440.0
464,ES3,C00238,IT0001020,06-JAN,1440.0
465,ES3,C00238,IT0001020,06-JAN,1440.0
466,ES1,C00102,IT0001076,08-JAN,250.0
467,ES1,C00102,IT0001012,08-JAN,750.0
468,ES1,C00102,IT0001012,08-JAN,750.0
469,ES1,C00283,IT0001076,09-JAN,500.0
470,ES1,C00246,IT0001151,10-JAN,32.0
471,ES3,C00196,IT0001020,10-JAN,640.0
472,ES3,C00196,IT0001020,10-JAN,640.0
473,ES1,C00257,IT0001076,13-JAN,500.0
474,ES1,C00257,IT0001151,13-JAN,40.0
475,ES3,C00265,IT0001202,13-JAN,400.0
476,ES3,C00140,IT0001076,14-JAN,500.0
477,ES3,C00316,IT0001088,12-FEB,320.0
478,ES3,C00316,IT0001088,12-FEB,320.0
479,ES1,C00313,IT0001481,16-FEB,125.0
480,ES1,C00315,IT0001494,17-FEB,50.0
481,ES3,C00205,IT0001481,18-FEB,90.0
482,ES3,C00205,IT0001151,18-FEB,256.0
483,ES3,C00205,IT0001151,18-FEB,256.0
484,ES3,C00128,IT0001133,17-FEB,16.0
485,ES3,C00128,IT0001088,19-FEB,320.0
486,ES1,C00240,IT0001376,20-FEB,15.0
487,ES1,C00107,IT0001464,23-FEB,1.0
488,ES1,C00107,IT0001451,23-FEB,2.0
489,ES3,C00335,IT0001012,20-FEB,250.0
490,ES1,C00354,IT0001040,21-FEB,72.0
491,ES3,C00316,IT0001101,24-FEB,180.0
492,ES1,C00313,IT0001443,25-FEB,13.0
493,ES1,C00225,IT0001007,06-JUL,132.0
494,ES1,C00225,IT0001225,06-JUL,104.0
495,ES1,C00224,IT0001378,13-JUL,34.0
496,ES1,C00224,IT0001368,13-JUL,100.0
497,ES1,C00224,IT0001430,13-JUL,27.0
498,ES1,C00224,IT0001430,13-JUL,27.0
499,ES1,C00224,IT0001410,13-JUL,200.0
500,ES1,C00224,IT0001410,13-JUL,200.0
501,ES1,C00229,IT0001354,07-AUG,15.0
502,ES1,C00224,IT0001074,20-AUG,72.0
503,ES1,C00224,IT0001074,20-AUG,72.0
504,ES1,C00224,IT0001484,20-AUG,100.0
505,ES1,C00224,IT0001131,20-AUG,200.0
506,ES1,C00224,IT0001440,20-AUG,27.0
507,ES1,C00224,IT0001410,20-AUG,40.0
508,ES1,C00224,IT0001440,20-AUG,27.0
509,ES1,C00223,IT0001488,29-AUG,250.0
510,ES1,C00224,IT0001131,21-SEP,200.0
511,ES1,C00224,IT0001131,21-SEP,200.0
512,ES1,C00224,IT0001412,21-SEP,20.0
513,ES3,C00314,IT0001088,19-JAN,160.0
514,ES3,C00314,IT0001068,19-JAN,72.0
515,ES1,C00299,IT0001265,21-JAN,10002.0
516,ES3,C00102,IT0001012,21-JAN,250.0
517,ES3,C00311,IT0001162,21-JAN,40.0
518,ES1,C00283,IT0001020,22-JAN,160.0
519,ES3,C00316,IT0001113,23-JAN,144.0
520,ES1,C00140,IT0001371,28-JAN,10.0
521,ES3,C00238,IT0001088,28-JAN,640.0
522,ES3,C00238,IT0001088,28-JAN,640.0
523,ES3,C00311,IT0001020,29-JAN,160.0
524,ES3,C00311,IT0001040,29-JAN,72.0
525,ES1,C00246,IT0001088,29-JAN,160.0
526,ES1,C00196,IT0001371,07-FEB,6.0
527,ES1,C00351,IT0001096,30-JAN,3.0
528,ES3,C00127,IT0001020,30-JAN,1280.0
529,ES3,C00127,IT0001020,30-JAN,1280.0
530,ES3,C00127,IT0001020,30-JAN,1280.0
531,ES3,C00238,IT0001151,31-JAN,48.0
532,ES3,C00238,IT0001476,31-JAN,15.0
